,region_1,description,points,price
0,Beaune,144,91.63888888888889,68.86805555555556
1,Corton,29,93.44827586206897,139.68965517241378
2,Corton-Charlemagne,26,94.0,186.0
3,Savigny-lès-Beaune,92,89.66304347826087,47.83695652173913
