,variety,description,points,price
129,Chardonnay-Semillon,7,86.71428571428571,18.857142857142858
130,Chardonnay-Viognier,31,85.41935483870968,16.0
131,Chasselas,7,89.0,21.714285714285715
132,Chelois,2,85.0,22.5
133,Chenin Blanc,518,88.42664092664093,23.333976833976834
134,Chenin Blanc-Chardonnay,16,88.0625,13.8125
135,Chenin Blanc-Sauvignon Blanc,6,84.83333333333333,10.5
136,Chenin Blanc-Viognier,13,87.53846153846153,15.76923076923077
137,Chinuri,2,85.5,23.0
138,Ciliegiolo,3,87.66666666666667,30.666666666666668
139,Cinsault,40,88.925,27.05
140,Clairette,2,88.5,21.0
141,Claret,33,88.18181818181819,50.06060606060606
142,Cococciola,1,86.0,20.0
143,Coda di Volpe,14,85.42857142857143,19.642857142857142
144,Colombard,23,87.0,16.52173913043478
145,Colombard-Sauvignon Blanc,15,85.46666666666667,11.0
146,Colombard-Ugni Blanc,8,85.125,10.25
147,Colorino,1,86.0,40.0
148,Cortese,66,86.43939393939394,21.681818181818183
149,Corvina,20,88.85,43.3
150,Corvina-Rondinella-Molinara,496,88.49596774193549,47.90725806451613
151,Counoise,12,88.83333333333333,31.083333333333332
152,Códega do Larinho,4,87.75,18.0
153,Dafni,1,85.0,20.0
154,Debit,1,89.0,35.0
155,Diamond,1,86.0,10.0
156,Dolcetto,168,87.10714285714286,21.94047619047619
157,Dornfelder,26,86.65384615384616,15.884615384615385
158,Doña Blanca,1,84.0,53.0
159,Duras,6,88.16666666666667,21.333333333333332
160,Durella,6,89.66666666666667,32.5
161,Durif,2,86.0,32.5
162,Edelzwicker,4,88.75,19.75
163,Elbling,4,87.75,16.0
164,Emir,4,86.75,16.0
165,Encruzado,34,89.82352941176471,24.147058823529413
166,Erbaluce,3,88.0,28.666666666666668
167,Falanghina,70,87.21428571428571,20.271428571428572
168,Favorita,1,90.0,40.0
169,Fer Servadou,4,87.0,16.5
170,Fernão Pires,26,87.34615384615384,21.26923076923077
171,Feteasca,2,87.5,17.5
172,Feteasca Neagra,7,87.85714285714286,15.285714285714286
173,Feteascǎ Regalǎ,6,86.83333333333333,10.166666666666666
174,Fiano,129,88.40310077519379,27.651162790697676
175,Folle Blanche,1,85.0,16.0
176,Forcallà,1,83.0,27.0
177,Francisa,1,91.0,160.0
178,Franconia,1,86.0,16.0
179,Frankovka,1,88.0,24.0
180,Frappato,33,87.60606060606061,23.060606060606062
181,Freisa,2,86.5,21.0
182,Friulano,112,88.01785714285714,23.714285714285715
183,Früburgunder,1,90.0,40.0
184,Fumé Blanc,70,87.95714285714286,22.7
185,Furmint,52,89.84615384615384,46.40384615384615
186,G-S-M,180,88.95555555555555,34.46111111111111
187,Gaglioppo,14,86.64285714285714,21.214285714285715
188,Gamay,832,88.18389423076923,20.689903846153847
189,Gamay Noir,22,87.72727272727273,23.0
190,Gamza,1,89.0,11.0
191,Garganega,217,87.61290322580645,20.62672811059908
192,Garnacha,320,85.978125,23.375
193,Garnacha Blanca,38,86.21052631578948,18.710526315789473
194,Garnacha Blend,2,87.5,19.0
195,Garnacha Tintorera,8,87.125,16.75
196,Garnacha-Cabernet,1,85.0,13.0
197,Garnacha-Cariñena,1,93.0,57.0
198,Garnacha-Monastrell,3,87.0,11.666666666666666
199,Garnacha-Syrah,13,84.61538461538461,13.23076923076923
200,Garnacha-Tempranillo,6,86.33333333333333,11.0
201,Gelber Muskateller,21,88.80952380952381,26.047619047619047
202,Gelber Traminer,1,95.0,35.0
203,Gewürztraminer,952,88.61659663865547,26.331932773109244
204,Gewürztraminer-Riesling,7,86.57142857142857,23.714285714285715
205,Glera,257,88.1828793774319,22.69260700389105
206,Godello,77,86.88311688311688,22.506493506493506
207,Gouveio,2,88.5,22.5
208,Graciano,42,88.54761904761905,46.30952380952381
209,Gragnano,2,82.5,16.5
210,Grauburgunder,11,88.72727272727273,24.545454545454547
211,Graševina,1,89.0,20.0
212,Grecanico,7,87.42857142857143,21.142857142857142
213,Grechetto,11,86.9090909090909,16.818181818181817
214,Greco,108,88.52777777777777,25.98148148148148
215,Greco Bianco,2,86.0,16.5
216,Grenache,643,88.9860031104199,35.813374805598755
217,Grenache Blanc,128,88.8046875,25.1171875
218,Grenache Blend,10,86.7,22.7
219,Grenache Gris,1,87.0,22.0
220,Grenache Noir,3,89.0,28.333333333333332
221,Grenache-Carignan,17,89.76470588235294,27.823529411764707
222,Grenache-Mourvèdre,6,88.0,33.166666666666664
223,Grenache-Shiraz,4,88.0,25.5
224,Grenache-Syrah,50,88.58,31.04
225,Grignolino,1,85.0,17.0
226,Grillo,106,86.90566037735849,17.67924528301887
227,Grolleau,3,87.33333333333333,39.333333333333336
228,Groppello,2,87.0,23.0
229,Gros Manseng,22,88.13636363636364,18.045454545454547
230,Gros Plant,1,86.0,16.0
231,Gros and Petit Manseng,42,89.64285714285714,20.928571428571427
232,Grüner Veltliner,1142,90.01751313485114,27.80735551663748
233,Hondarrabi Zuri,17,86.17647058823529,21.176470588235293
234,Hárslevelü,2,89.5,28.0
235,Incrocio Manzoni,3,88.0,26.333333333333332
236,Insolia,26,86.65384615384616,16.884615384615383
237,Inzolia,27,85.96296296296296,14.925925925925926
238,Irsai Oliver,1,87.0,13.0
239,Jacquez,3,85.0,34.333333333333336
240,Jacquère,23,87.6086956521739,16.869565217391305
241,Jaen,6,89.83333333333333,31.0
242,Jampal,1,88.0,25.0
243,Johannisberg Riesling,8,86.25,8.875
244,Kadarka,2,88.0,24.0
245,Kalecik Karasi,15,89.13333333333334,24.8
246,Kangoun,1,87.0,14.0
247,Karalahna,1,87.0,15.0
248,Karasakiz,1,89.0,15.0
249,Kekfrankos,10,87.2,29.5
250,Kerner,26,88.84615384615384,23.346153846153847
251,Kinali Yapincak,1,84.0,15.0
252,Kisi,6,87.33333333333333,20.166666666666668
253,Kotsifali,1,92.0,13.0
254,Kuntra,1,86.0,15.0
255,Lagrein,78,88.56410256410257,32.87179487179487
256,Lambrusco,23,84.8695652173913,17.17391304347826
257,Lambrusco Grasparossa,9,86.88888888888889,19.444444444444443
258,Lambrusco Salamino,2,90.0,23.0
259,Lambrusco di Sorbara,15,89.93333333333334,21.4
260,Lemberger,35,87.25714285714285,21.771428571428572
261,Listán Negro,3,87.66666666666667,28.333333333333332
262,Loin de l'Oeil,6,90.83333333333333,27.333333333333332
263,Loureiro,24,87.25,12.875
264,Loureiro-Arinto,1,86.0,10.0
265,Macabeo,20,85.55,18.5
266,Macabeo-Chardonnay,3,85.66666666666667,11.0
267,Macabeo-Moscatel,1,85.0,8.0
268,Madeleine Angevine,2,85.5,17.5
269,Magliocco,2,90.0,30.0
270,Malagousia,12,88.5,20.583333333333332
271,Malagouzia,4,88.5,20.0
272,Malagouzia-Chardonnay,1,86.0,8.0
273,Malbec,2586,87.9752513534416,29.953596287703018
274,Malbec Blend,2,90.5,66.5
275,Malbec-Bonarda,4,87.5,20.25
276,Malbec-Cabernet,3,91.66666666666667,113.33333333333333
277,Malbec-Cabernet Franc,11,88.36363636363636,38.0
278,Malbec-Cabernet Sauvignon,58,88.44827586206897,41.258620689655174
279,Malbec-Carménère,1,91.0,43.0
280,Malbec-Merlot,86,88.30232558139535,19.686046511627907
281,Malbec-Petit Verdot,2,91.0,49.0
282,Malbec-Syrah,19,85.52631578947368,18.105263157894736
283,Malbec-Tannat,16,90.6875,33.9375
284,Malbec-Tempranillo,2,86.5,11.0
285,Malvar,2,84.5,23.5
286,Malvasia,39,86.82051282051282,24.487179487179485
287,Malvasia Bianca,16,88.5625,22.75
288,Malvasia Fina,2,88.0,23.5
289,Malvasia Istriana,8,86.75,20.75
290,Malvasia Nera,6,87.16666666666667,39.333333333333336
291,Malvasia di Candia,2,87.0,22.5
292,Malvasia-Viura,3,85.0,17.666666666666668
293,Mandilaria,1,90.0,25.0
294,Mansois,3,87.33333333333333,17.0
295,Mantonico,5,88.4,27.8
296,Manzoni,5,86.8,22.6
297,Marawi,3,87.66666666666667,35.0
298,Maria Gomes,2,88.0,11.0
299,Maria Gomes-Bical,1,86.0,25.0
300,Marquette,2,84.5,18.0
301,Marsanne,65,88.13846153846154,33.01538461538462
302,Marsanne-Roussanne,22,87.4090909090909,30.40909090909091
303,Marsanne-Viognier,2,86.5,27.5
304,Marselan,4,88.75,34.0
305,Marzemino,3,86.33333333333333,52.333333333333336
306,Mataro,10,89.5,48.1
307,Maturana,6,86.5,57.5
308,Mauzac,4,88.0,17.25
309,Mavrodaphne,1,88.0,30.0
310,Mavrokalavryta,1,86.0,15.0
311,Mavrotragano,1,90.0,50.0
312,Mavroudi,1,87.0,12.0
313,Mavrud,7,87.85714285714286,14.142857142857142
314,Mazuelo,4,87.75,78.25
315,Melon,241,88.55186721991701,17.1701244813278
316,Mencía,172,88.74418604651163,28.203488372093023
317,Meritage,258,87.57751937984496,35.53488372093023
318,Merlot,3044,87.21452036793693,29.633377135348226
319,Merlot-Argaman,1,85.0,12.0
320,Merlot-Cabernet,11,88.0909090909091,22.545454545454547
321,Merlot-Cabernet Franc,22,88.86363636363636,38.72727272727273
322,Merlot-Cabernet Sauvignon,33,87.3030303030303,31.575757575757574
323,Merlot-Grenache,1,89.0,10.0
324,Merlot-Malbec,6,87.0,28.666666666666668
325,Merlot-Petite Verdot,1,83.0,20.0
326,Merlot-Shiraz,1,86.0,18.0
327,Merlot-Syrah,2,88.5,21.0
328,Merlot-Tannat,3,89.33333333333333,18.333333333333332
329,Merseguera-Sauvignon Blanc,1,85.0,9.0
330,Meseguera,1,91.0,35.0
331,Misket,1,85.0,19.0
332,Mission,5,88.0,16.8
333,Monastrell,144,87.25,20.01388888888889
334,Monastrell-Petit Verdot,2,88.0,19.5
