,variety,description,points,price
575,Terrantez,1,95.0,236.0
576,Thrapsathiri,1,88.0,25.0
577,Timorasso,5,90.6,41.6
578,Tinta Amarela,1,90.0,30.0
579,Tinta Barroca,4,87.75,26.5
580,Tinta Cao,2,90.0,14.0
581,Tinta Fina,11,87.9090909090909,30.0
582,Tinta Francisca,3,90.33333333333333,50.0
583,Tinta Madeira,1,89.0,45.0
584,Tinta Miúda,3,87.66666666666667,18.666666666666668
585,Tinta Negra Mole,1,92.0,112.0
586,Tinta Roriz,10,88.5,29.4
587,Tinta de Toro,165,89.58181818181818,45.35757575757576
588,Tinta del Pais,2,95.0,47.5
589,Tinta del Toro,3,86.33333333333333,23.333333333333332
590,Tintilia ,1,87.0,25.0
591,Tinto Fino,100,89.88,64.25
592,Tinto Velasco,1,85.0,9.0
593,Tinto del Pais,18,87.88888888888889,39.44444444444444
594,Tocai,9,88.0,21.333333333333332
595,Tocai Friulano,20,87.45,24.85
596,Tokaji,23,90.65217391304348,59.08695652173913
597,Tokay Pinot Gris,1,89.0,30.0
598,Torbato,2,91.0,20.0
599,Torontel,1,92.0,40.0
600,Torrontés,245,85.61224489795919,13.76734693877551
601,Touriga,3,89.33333333333333,45.666666666666664
602,Touriga Franca,7,88.57142857142857,27.0
603,Touriga Nacional,170,88.98823529411764,28.741176470588236
604,Touriga Nacional Blend,14,89.14285714285714,28.428571428571427
605,Touriga Nacional-Cabernet Sauvignon,26,88.07692307692308,14.038461538461538
606,Trajadura,1,86.0,7.0
607,Traminer,34,88.02941176470588,24.294117647058822
608,Traminette,9,85.0,15.11111111111111
609,Trebbiano,42,87.11904761904762,22.642857142857142
610,Trebbiano Spoletino,5,87.6,22.4
611,Trebbiano di Lugana,3,87.66666666666667,29.333333333333332
612,Treixadura,3,87.33333333333333,17.0
613,Trepat,7,89.0,24.714285714285715
614,Trincadeira,24,87.75,19.833333333333332
615,Trollinger,2,90.5,21.5
616,Trousseau,6,87.16666666666667,37.666666666666664
617,Trousseau Gris,3,90.0,23.666666666666668
618,Turbiana,146,88.8972602739726,23.89041095890411
619,Tămâioasă Românească,2,88.0,11.0
620,Ugni Blanc,3,90.66666666666667,27.0
621,Ugni Blanc-Colombard,9,85.77777777777777,10.88888888888889
622,Uva di Troia,13,87.6923076923077,24.46153846153846
623,Uvalino,2,88.0,29.0
624,Valdiguié,6,87.0,19.0
625,Valvin Muscat,1,87.0,13.0
626,Veltliner,4,90.0,29.5
627,Verdeca,5,86.2,15.6
628,Verdejo,290,86.32758620689656,16.141379310344828
629,Verdejo-Sauvignon Blanc,5,85.0,9.8
630,Verdejo-Viura,22,85.72727272727273,10.818181818181818
631,Verdelho,54,87.16666666666667,20.14814814814815
632,Verdicchio,159,87.83647798742139,21.82389937106918
633,Verdil,1,86.0,18.0
634,Verdosilla,1,84.0,17.0
635,Verduzzo,5,88.8,33.0
636,Verduzzo Friulano ,3,88.66666666666667,54.333333333333336
637,Vermentino,206,87.68932038834951,22.655339805825243
638,Vermentino Nero,1,88.0,45.0
639,Vernaccia,126,87.37301587301587,18.634920634920636
640,Vespaiolo,1,92.0,40.0
641,Vespolina,2,88.0,25.0
642,Vidadillo,1,89.0,24.0
643,Vidal,11,89.36363636363636,37.81818181818182
644,Vidal Blanc,54,87.03703703703704,35.44444444444444
645,Vignoles,10,85.5,18.8
646,Vilana,4,86.5,14.5
647,Vinhão,1,88.0,18.0
648,Viognier,984,87.77845528455285,26.100609756097562
649,Viognier-Chardonnay,8,85.0,20.5
650,Viognier-Gewürztraminer,2,86.0,15.0
651,Viognier-Grenache Blanc,3,89.66666666666667,32.0
652,Viognier-Marsanne,3,88.33333333333333,20.333333333333332
653,Viognier-Roussanne,7,88.0,25.714285714285715
654,Viognier-Valdiguié,1,84.0,17.0
655,Viosinho,5,88.4,23.4
656,Vitovska,3,90.33333333333333,64.33333333333333
657,Viura,105,85.28571428571429,15.295238095238096
658,Viura-Chardonnay,12,84.75,10.666666666666666
659,Viura-Verdejo,2,84.5,12.0
660,Vranec,4,86.75,16.0
661,Weissburgunder,39,89.61538461538461,26.17948717948718
662,Welschriesling,23,88.78260869565217,28.782608695652176
663,White Blend,2062,87.42725509214355,23.524248302618815
664,White Riesling,13,88.61538461538461,16.692307692307693
665,Xarel-lo,21,85.71428571428571,16.047619047619047
666,Xinisteri,1,89.0,20.0
667,Xinomavro,32,86.78125,22.5625
668,Xynisteri,2,87.0,18.5
669,Yapincak,2,85.5,18.0
670,Zibibbo,28,89.82142857142857,37.357142857142854
671,Zierfandler,12,90.08333333333333,32.583333333333336
672,Zierfandler-Rotgipfler,4,90.75,23.75
673,Zinfandel,2695,87.84638218923934,29.570686456400743
674,Zlahtina,2,86.0,14.5
675,Zweigelt,182,88.5,21.516483516483518
676,Çalkarası,2,86.5,19.0
677,Žilavka,1,88.0,15.0
